PCA1,PCA2,Topic
-33.0822691665255,4.4035327675845466e-10,1
-33.08226916703839,-2.2417629375249742e-10,2
-33.08226916703221,-2.1620766805162118e-10,3
99.24680750059612,-1.0228350816894582e-14,4
