Thema,Durchschnittlicher_Anteil
Thema 1,0.16666686817061524
Thema 2,0.16666329898291185
Thema 3,0.3794961539462796
Thema 4,7.865221219547995e-06
Thema 5,0.28715794845775416
Thema 6,7.865221219547995e-06
