PCA1,PCA2,Topic
-100.46236266585133,-7.435094273990835e-11,1
-100.46236266564631,3.8887280699433634e-10,2
-100.46236266595751,-3.1453725358978967e-10,3
301.3870879974552,-5.129778829160017e-15,4
