Wort,Anzahl
dafür,76
müssen,73
mehr,69
unterstützen,55
europa,50
deutschland,50
menschen,50
setzen,50
fördern,48
gesellschaft,47
schaffen,47
arbeit,45
stärken,43
unternehmen,41
leben,40
bürgerinnen,40
zukunft,39
neue,39
unserer,38
ziel,37
eu,34
dabei,33
sorgen,33
brauchen,32
kinder,31
deshalb,31
sowie,30
europäischen,30
welt,29
sollen,28
