Wort,Anzahl
müssen,475
menschen,313
mehr,237
sollen,166
linke,161
sowie,139
soziale,125
euro,117
dafür,116
arbeit,114
gute,109
fordern,109
leben,107
ab,104
beschäftigten,102
pro,101
braucht,101
brauchen,99
eu,91
gesellschaft,89
öffentlichen,89
prozent,88
dürfen,87
deutschland,86
unternehmen,86
statt,85
öffentliche,84
vgl,82
darf,81
kapitel,81
