Wort,Anzahl
mehr,12
schaffen,12
neue,11
menschen,11
dafür,10
gesellschaft,9
leben,9
klimaneutralität,9
ökologische,9
sozial,8
zeit,7
politik,7
unserer,6
welt,6
strom,6
müssen,6
handeln,6
kapitel,6
transformation,6
neuen,6
seid,5
gilt,5
zukunft,5
wohlstand,5
wirtschaft,5
je,5
bringen,5
land,5
gehen,5
weniger,5
