,CDU & CSU,SPD,B90 / Die Grünen,AFD,Die Linke,FDP
CDU & CSU,0.9999991655349731,0.8094847202301025,0.8108364343643188,0.513438880443573,0.6412173509597778,0.5467116832733154
SPD,0.8094847202301025,0.9999998807907104,0.8729656338691711,0.5140261054039001,0.7648457288742065,0.5641013383865356
B90 / Die Grünen,0.8108364343643188,0.8729656338691711,1.0000004768371582,0.5226572751998901,0.8024788498878479,0.5741207599639893
AFD,0.513438880443573,0.5140261054039001,0.5226572751998901,1.0000001192092896,0.5052894949913025,0.44776713848114014
Die Linke,0.6412173509597778,0.7648457288742065,0.8024788498878479,0.5052894949913025,1.000000238418579,0.502540647983551
FDP,0.5467116832733154,0.5641013383865356,0.5741207599639893,0.44776713848114014,0.502540647983551,1.0000001192092896
