PCA1,PCA2,Topic
-11.924204240740863,3.911226990370665e-10,1
35.772612723527914,3.74698584927616e-15,2
-11.924204241538261,-3.2567958518582795e-10,3
-11.924204241248752,-6.543187286912438e-11,4
