Wort,Anzahl
gesellschaft,15
dafür,15
europa,14
deutschland,14
mehr,14
zukunftsprogramm,13
spd,13
bürgerinnen,13
unserer,12
energien,12
zukunft,11
respekt,10
krise,10
sorgen,10
leben,10
erneuerbaren,10
welt,9
corona,9
sichern,9
neue,9
schaffen,9
co,9
ziel,8
wirtschaft,7
müssen,7
investitionen,7
mobilität,7
ausbau,7
dabei,6
menschen,6
