Wort,Anzahl
menschen,26
n,24
mehr,22
gesellschaft,21
soziale,20
geht,20
leben,18
müssen,16
arbeit,15
dafür,14
pandemie,14
gute,14
land,13
linke,13
löhne,12
arbeitsplätze,12
sicherheit,11
demokratie,11
p,11
pro,10
wirtschaft,10
zukunft,10
schaffen,10
beschäftigten,10
stehen,9
politik,9
braucht,9
gut,9
sozialen,8
infrastruktur,8
