,CDU & CSU,SPD,B90 / Die Grünen,AFD,Die Linke,FDP
CDU & CSU,0.9999977946281433,0.2968721389770508,0.2486894130706787,0.11493366956710815,0.2930575907230377,0.28045377135276794
SPD,0.2968721389770508,1.0000007152557373,0.4288565218448639,0.12721721827983856,0.4028244912624359,0.26099467277526855
B90 / Die Grünen,0.2486894130706787,0.4288565218448639,0.9999999403953552,0.1032165139913559,0.4363889694213867,0.25262749195098877
AFD,0.11493366956710815,0.12721721827983856,0.1032165139913559,0.9999990463256836,0.12895247340202332,0.14172203838825226
Die Linke,0.2930575907230377,0.4028244912624359,0.4363889694213867,0.12895247340202332,0.9999997019767761,0.2329530417919159
FDP,0.28045377135276794,0.26099467277526855,0.25262749195098877,0.14172203838825226,0.2329530417919159,1.0
