Wort,Anzahl
menschen,249
mehr,223
dafür,209
sowie,188
müssen,185
stärken,181
sollen,178
eu,176
kapitel,161
deutschland,136
setzen,134
bereit,127
seid,126
schaffen,125
bundestagswahlprogramm,122
unterstützen,117
braucht,112
fördern,101
europäischen,97
unternehmen,94
deshalb,93
neue,91
leben,84
immer,81
ermöglichen,78
gesellschaft,75
brauchen,71
kinder,70
kommunen,69
europäische,69
