PCA1,PCA2,Topic
104.73444621618182,2.2905395588772778e-15,1
-34.91148207207271,1.6323568360399462e-11,2
-34.9114820720559,-6.370000896683889e-12,3
-34.91148207205318,-9.94669584504757e-12,4
