PCA1,PCA2,Topic
174.55834464020526,-4.7184780980114564e-15,1
-58.18611488052954,7.812129276435644e-10,2
-58.186114879902355,-2.812812205145357e-10,3
-58.186114879773314,-4.999458625728525e-10,4
