PCA1,PCA2,Topic
13.970557719552652,-5.998791006792918e-16,1
-4.656852574626104,-2.072827880304609e-09,2
-4.6568525813778505,-1.177555244468296e-08,3
-4.656852563548681,1.3848378575364716e-08,4
