PCA1,PCA2,Topic
-7.745916321097421,5.229287464582771e-10,1
-7.745916322401545,-2.414244392705116e-10,2
-7.745916322470004,-2.814993046392992e-10,3
23.237748965969114,1.6674859788922761e-15,4
