bestmögliche,2
bestätigt,1
beteiligen,2
beteiligung,1
beteiligungsangebote,1
betreffen,1
betreuungsbedarf,1
betrieb,1
betriebe,1
betriebliche,4
betriebsratsarbeit,1
betriebsräte,1
betriebsrätinnen,1
betriebsschließungen,1
betriebsstandorten,1
betriebsverfassung,2
betroffen,2
betroffene,1
betroffenen,2
bevölkerung,2
bewahrung,1
bewirken,1
bewältigen,2
bewältigung,1
bezahlbare,1
bezahlbaren,1
bezahlen,2
bezahlt,1
beziehen,1
beziehungen,1
bietet,2
bilanz,1
bilden,1
bildet,2
bildung,5
bildungs,1
bildungsangeboten,1
bildungsteilzeit,1
bildungsund,2
bildungszeit,1
biodiversitätspolitik,1
biologischen,1
biontech,1
biotechnologie,1
bisexuellen,1
bisher,4
bislang,3
bleiben,3
bleiberecht,1
bleibt,3
blick,2
blutspende,1
bodenfonds,1
bodenwertgewinne,1
branchen,1
branchenbezogen,1
brauchen,9
braucht,7
breiten,1
brexit,1
bruttonationaleinkommens,2
buchstäblichen,1
bund,3
bundes,5
bundesanstalt,1
bundeseigener,1
bundeseinheitlich,1
bundeskontingente,1
bundesländern,1
bundesprogramm,2
bundesregierung,2
bundeswehr,2
bundesweit,2
bundesweiten,1
bundeszuschuss,1
bundesärztekammer,1
bus,1
by,3
bzw,2
bündeln,3
bündelung,1
bürgergeld,2
bürgerin,1
bürgerinnen,15
bürgernahen,1
bürgernaher,1
bürgerräten,1
bürgerservice,1
bürgerversicherung,1
bürokratische,1
cannabis,2
celsius,1
cent,1
chance,2
chancen,5
chancengleichheit,1
chancenhelfern,1
chancenkontos,1
china,1
civil,1
co,5
corona,10
country,1
countryreporting,1
cyber,1
cyberattacken,1
dabei,9
dadurch,3
dafür,39
daher,10
danach,1
dar,1
daran,1
darauf,5
daraus,1
darf,6
darin,5
darum,4
darunter,2
darüber,6
data,1
daten,1
datenschutzgrundverordnung,1
datenteilen,1
datenzugang,1
dauer,1
dauerhaft,1
dauerhafte,1
dauerhaftes,2
davon,4
dazugehört,2
de,1
debatte,1
default,1
demokratie,3
demokratieförderung,1
demokratische,1
demokratischen,2
demokratischer,1
demokratisches,1
demonstration,1
denen,3
denjenigen,1
denkbaren,1
deradikalisierung,1
deren,3
derjenigen,1
deshalb,12
design,1
desinformation,1
desto,1
deswegen,1
deutlich,6
deutsche,3
deutschen,2
deutscher,2
deutschland,17
deutschlands,1
diagnosebezogenen,1
dialog,1
dialogbereitschaft,1
dialogs,1
diejenigen,2
dienst,1
dienste,2
dienstes,1
dienstleistungen,4
dient,1
digital,3
digitale,10
digitalen,5
digitaler,3
digitales,2
digitalisieren,1
digitalisierung,1
digitalkonzerne,1
digitalunternehmen,1
dinge,1
direkte,2
diskriminierende,1
diskriminierung,3
diskriminierungsverbot,1
dokumentiert,1
dominiert,1
drei,3
dringend,2
dritten,2
drogenhandel,1
drogenpolitik,1
drängende,1
dual,1
duale,1
durchgesetzte,1
durchschnitt,1
durchsetzung,3
durchsetzungsmechanismen,1
durchziehen,1
dynamischen,1
dächer,1
dürfen,2
ebene,1
ebenen,3
ebenfalls,1
ebenso,2
ebnet,1
echten,3
effizienter,1
egal,1
ehe,2
ehegattensplitting,1
ehepaare,1
eher,1
ehrenamtlich,1
eigene,1
eigenen,3
eigenmittel,1
eigenständig,1
eigenständiger,1
einbeziehung,1
einbezogen,1
einbürgerungen,1
eindruck,1
eindämmen,1
einfach,1
einfache,1
einfachen,2
einfacher,2
einfluss,2
einfordern,1
einführen,5
einführung,3
eingebunden,1
eingeschränkt,1
eingesetzt,1
eingespart,1
eingestellten,1
eingreifen,1
eingreift,1
einheit,1
einheitliche,1
einheitlichen,2
einheitliches,1
einklang,2
einkommen,7
einkommensgruppen,1
einkommensteuer,1
einlösen,1
einmalig,1
einnahmeausfälle,1
einnahmen,2
einnimmt,1
einrichten,1
einrichtung,1
einrichtungen,1
eins,1
einsamkeit,1
einsatz,2
einschnitte,1
einschulung,1
einsetzen,5
einstehen,2
einstehens,1
einstellen,1
einstimmigkeitsprinzips,1
einweg,1
einzelfall,1
einzelne,1
einzelner,1
einzudämmen,1
einzuhalten,2
einzusteigen,1
elektrifizieren,1
elektrifizierte,1
elektrifizierung,1
elektroautos,2
eltern,4
elterngeld,1
elterngeldplus,1
elternteile,1
elternunabhängig,1
elternunabhängige,1
elternzeit,1
emissionen,1
emissionshandel,1
endgerät,1
endgültigen,1
energie,1
energien,4
energiesysteme,1
energieträger,1
energiewende,1
engagement,1
engagieren,1
enger,1
engere,1
entfalten,1
enthalten,1
entkrimi,1
entlassen,1
entlasten,1
entscheiden,1
entscheidende,1
entscheidet,1
entscheidungen,4
entscheidungsprozesse,1
entscheidungsrechte,1
entschädigung,1
entsprechend,1
entsprechende,3
entspricht,1
entsteht,1
entwickeln,3
entwickelt,2
entwicklerinnen,1
entwicklung,7
entwicklungen,1
entwicklungsbedürfnisse,1
entwicklungskrisen,1
entwicklungsländer,1
entwicklungsräume,1
entwicklungszusammenarbeit,2
entzogen,1
epidemien,1
erarbeiten,2
erderwärmung,2
erfahren,1
erfahrungen,2
erfasst,1
erfolgreich,4
erfolgreiche,1
erfolgreichen,1
erfolgsmodell,1
erfolgt,1
erfordert,1
erfüllen,2
erhalten,10
erhebliche,2
erheblichen,1
erhält,1
erhöhen,2
erhöht,2
erhöhungen,1
erkennbar,1
erkenntnissen,1
erlebbar,1
erlebt,1
erledigt,1
erleichtert,1
erleichterter,1
erlernen,1
erlösmodelle,1
ermutigen,1
ermöglichen,8
ermöglichenkostengünstig,1
ermöglicht,4
erneuerbare,1
erneuerbaren,3
erneuern,1
erneut,1
ernährung,2
ernährungsarmut,1
erreichen,4
erreichung,1
errungenschaft,1
erschütternd,1
ersetzen,1
erst,1
ersten,5
erstklassig,1
erwachsene,1
erwachsenen,1
erweitern,1
erweitert,1
erwerb,1
erwerbsarbeit,2
erwerbslebens,1
erwerbsminderungsrentnerinnen,1
erwerbstätigen,2
erwirtschaftet,1
erwirtschaftete,1
erzeugt,1
erzieherischen,1
erziehung,1
eröffnet,1
erörtert,1
esports,1
etablieren,4
etwa,1
eu,18
euro,6
europa,13
europarats,1
europas,4
europäische,8
europäischen,9
europäischer,4
eurozone,1
ex,1
exekutiven,1
existentiellen,1
existenzgründungen,1
existenzminimum,1
facebook,1
fach,1
fachkräften,1
fachkräftesicherung,1
fahrplan,1
fair,2
faires,1
fallpauschalen,2
familie,2
familien,3
familienarbeit,1
familienbedingte,1
familienplanung,1
familienpolitik,1
familientragödie,1
familienund,1
familiären,1
fanatismus,1
feindlichkeit,1
femizide,2
fernverkehrsnetz,1
fest,3
festangestellte,1
festgelegte,1
feuerwehr,1
ff,1
finanz,1
finanzdienstleistungsaufsicht,1
finanziell,1
finanziellen,1
finanziert,1
finanzierten,1
finanzierung,8
finanzierungsbasis,1
finanzpolitik,2
finanzprodukte,1
finanzsektor,1
finanzstandort,1
finanztransaktionssteuer,1
finanzund,1
finden,2
first,1
fiskal,1
fiskalpolitisch,1
fläche,1
flächenbezogenen,1
flächendeckende,2
flächendeckendem,1
flächenförderung,1
flüchtlingen,1
flüchtlingsorganisationen,1
flüchtlingspolitik,1
fokus,3
folge,1
folgen,1
fonds,2
fordern,2
forderung,1
form,3
formen,1
formulierten,1
fortbildungsmaßnahmen,1
fortentwickeln,1
fortschritt,1
fortschritte,1
fortsetzen,2
fortwirtschaft,1
fortzubilden,1
fossile,1
fragen,4
französischen,1
frau,1
frauen,10
frauenhäusern,1
frauennotrufen,1
frei,1
freiberuflichen,1
freibeträge,1
freien,1
freier,1
freiheit,1
freiheiten,1
freischaffenden,1
freiwilligen,2
freiwilligendienst,1
freiwilligendiensten,1
freiwilligengeld,1
freizeiteinrichtungen,1
fremdenfeindlichkeit,1
freund,1
frieden,4
friedensprozesses,1
friedensund,2
frist,1
frühwarnsystems,1
fundament,2
funktionierenden,1
funktionierender,1
funktionsfähige,1
fusionskontrolle,1
fußabdruck,1
förderansprüche,1
fördermitteln,1
fördern,9
förderprogramm,1
förderprogrammen,1
fördersatz,1
fördert,1
förderung,11
führen,5
führenden,1
führt,1
führungsebenen,1
fünf,1
füreinander,3
fürsorgearbeit,1
ganz,1
ganzen,1
ganztagsbetreuung,1
ganztagsschulen,1
garant,1
garantieren,2
garantiert,1
gearbeitet,1
gebaut,1
geben,7
gebieten,1
geborenen,1
gebrauchter,1
gebunden,2
geburt,1
geburtshilfe,1
geburtstag,1
gebäuden,1
geeignete,1
geeigneten,1
geeinte,1
gefahr,1
geförderten,1
geführt,1
gegenseitigem,2
gegenwärtig,1
gegenüber,3
gehalten,1
gehandelter,1
gehen,4
geht,3
gehören,4
gehört,5
gelangen,1
geld,2
geleistet,2
geleisteten,1
gelingen,1
gelingt,3
gelten,2
geltend,1
geltende,2
geltendem,1
geltung,2
gelöst,1
gemacht,3
gemeinden,1
gemeinnützig,1
gemeinnütziger,1
gemeinnützigkeitsrecht,1
gemeinsam,3
gemeinsame,4
gemeinsamen,2
gemeinsamer,1
gemeinsames,1
gemeinschaftsverpflegung,1
gemeinwesen,1
gemeinwesens,2
gemeinwohlorientierter,1
gemeistert,1
gemäß,1
genauso,1
generationen,1
generelle,1
genießbare,1
genommen,1
genutzt,2
genutzter,1
gepflegt,1
geprägt,1
gerade,5
geraten,3
gerechte,3
gerechten,1
gerechter,3
gerechtere,1
gerechteren,1
gerettet,1
gerichten,1
geringe,1
geringere,1
